iter	RMSE
0	33.61698343
1	33.40406879
2	33.16405019
3	32.90119336
4	32.68995366
5	32.45095064
6	32.25289406
7	32.0246193
8	31.80338276
9	31.56160631
10	31.32155712
11	31.09691527
12	30.9380915
13	30.73820683
14	30.54573021
15	30.30086191
16	30.09737391
17	29.84282261
18	29.64933472
19	29.47950165
20	29.28988277
21	29.10955563
22	28.91497123
23	28.71680264
24	28.5334701
25	28.36767457
26	28.12991188
27	27.93361747
28	27.73536777
29	27.55488999
30	27.36527355
31	27.17355911
32	26.97940099
33	26.81792666
34	26.66892333
35	26.49772655
36	26.3330342
37	26.15491107
38	25.99712356
39	25.81764001
40	25.6619474
41	25.50034414
42	25.33666929
43	25.18718321
44	24.99953513
45	24.84545488
46	24.6765401
47	24.50209659
48	24.34580235
49	24.16843764
50	23.98932507
51	23.82903664
52	23.67254185
53	23.51120249
54	23.37880192
55	23.24974017
56	23.12628281
57	22.98833848
58	22.84660611
59	22.69040194
60	22.53297516
61	22.39601543
62	22.23426964
63	22.04189904
64	21.90515929
65	21.75115359
66	21.61248206
67	21.48631824
68	21.37246312
69	21.23660512
70	21.09519522
71	20.95052094
72	20.80776718
73	20.70518871
74	20.56821672
75	20.4197486
76	20.27136209
77	20.17856196
78	20.03873551
79	19.89273656
80	19.78673541
81	19.66936178
82	19.55847372
83	19.47339382
84	19.34525598
85	19.24762454
86	19.11575806
87	19.02042292
88	18.9141366
89	18.79432766
90	18.67399272
91	18.56855612
92	18.47220535
93	18.36027558
94	18.25839883
95	18.15155191
96	18.02732088
97	17.95257767
98	17.82786672
99	17.71994923
100	17.60960225
101	17.49709273
102	17.38272995
103	17.27381955
104	17.14519884
105	17.057112
106	16.97587578
107	16.90309682
108	16.80888795
109	16.7266967
110	16.63226659
111	16.53508941
112	16.44774848
113	16.34820908
114	16.23756104
115	16.17349542
116	16.03804402
117	15.93013317
118	15.86469203
119	15.77241403
120	15.68185286
121	15.57149367
122	15.46282734
123	15.39916611
124	15.30327342
125	15.22322099
126	15.15137212
127	15.08213069
128	14.99916867
129	14.91257064
130	14.81776473
131	14.71420757
132	14.64562052
133	14.56104003
134	14.478944
135	14.40625395
136	14.32719755
137	14.23572729
138	14.17200051
139	14.10450805
140	14.01446857
141	13.92801279
142	13.85302044
143	13.79335431
144	13.70961201
145	13.64996837
146	13.58733425
147	13.51312312
148	13.44213498
149	13.36528122
150	13.31179041
151	13.23686191
152	13.16227005
153	13.09461941
154	13.01816578
155	12.94934064
156	12.88161083
157	12.80689052
158	12.73358513
159	12.67106334
