iter	RMSE
160	12.58664696
161	12.53413017
162	12.45940799
163	12.39864847
164	12.33125423
165	12.26412079
166	12.21427618
167	12.13496125
168	12.06791037
169	11.99633563
170	11.93288209
171	11.89168711
172	11.8154094
173	11.74983757
174	11.69357631
175	11.62639058
176	11.56190099
177	11.51431006
178	11.4446443
179	11.38889833
180	11.3379023
181	11.27289876
182	11.21519848
183	11.14802458
184	11.1026594
185	11.04225064
186	10.98008997
187	10.93961318
188	10.88192904
189	10.82595291
190	10.7853054
191	10.70646224
192	10.64911326
193	10.59589947
194	10.53152645
195	10.47037899
196	10.39626774
197	10.3264074
198	10.27515724
199	10.20821265
200	10.13775456
201	10.08790223
202	10.02486694
203	9.970736278
204	9.940160843
205	9.888078267
206	9.834275865
207	9.775859967
208	9.718518948
209	9.673499317
210	9.640413723
211	9.592853076
212	9.55578947
213	9.522369271
214	9.470519576
215	9.418467301
216	9.366918077
217	9.299163846
218	9.240744559
219	9.196863045
220	9.159512863
221	9.106557067
222	9.063261324
223	9.028461055
224	8.970529742
225	8.941782377
226	8.913792515
227	8.866762878
228	8.82381801
229	8.765251523
230	8.72666036
231	8.679238934
232	8.64778997
233	8.595811088
234	8.536302248
235	8.482186268
236	8.438624283
237	8.405722343
238	8.355982326
239	8.319448953
240	8.269517087
241	8.241031573
242	8.2122653
243	8.159711438
244	8.11861955
245	8.080684401
246	8.031550121
247	7.994529653
248	7.967200971
249	7.933664565
250	7.878263554
251	7.845097339
252	7.81725425
253	7.772379639
254	7.733789342
255	7.69859914
256	7.658372514
257	7.630304803
258	7.581816197
259	7.539170932
260	7.491518148
261	7.459179497
262	7.433607954
263	7.394783028
264	7.355252267
265	7.310821055
266	7.267708386
267	7.242781702
268	7.193578355
269	7.142800127
270	7.10010857
271	7.066749673
272	7.042808877
273	7.015751983
274	6.982430232
275	6.944739275
276	6.903017249
277	6.870787077
278	6.832181547
279	6.792313117
280	6.767160218
281	6.727371388
282	6.70366287
283	6.683700156
284	6.661184851
285	6.635211738
286	6.598339694
287	6.556188247
288	6.515233484
289	6.469054256
290	6.430138496
291	6.408894913
292	6.364091977
293	6.331679268
294	6.287820732
295	6.252867646
296	6.213276578
297	6.186475758
298	6.144288995
299	6.105522609
300	6.068286566
301	6.03652726
302	6.002260462
303	5.972176983
304	5.939119615
305	5.905759526
306	5.870718978
307	5.847974693
308	5.82408548
309	5.796623639
310	5.758115942
311	5.714731623
312	5.688513631
313	5.651067135
314	5.626958304
315	5.592829295
316	5.570312476
317	5.536147985
318	5.506965073
319	5.474414077
320	5.444466794
321	5.412046769
322	5.391159618
323	5.35880017
324	5.327221875
325	5.30029011
326	5.270255476
327	5.248104321
328	5.230562739
329	5.197163391
330	5.16776488
331	5.138850082
332	5.107836378
333	5.081291722
334	5.052317834
335	5.02007005
336	4.990151578
337	4.964733522
338	4.943349041
339	4.915445989
340	4.89226716
341	4.872322207
342	4.844828966
343	4.823734308
344	4.794264722
345	4.768103294
346	4.739160498
347	4.711767506
348	4.685235039
349	4.659412765
350	4.633971524
351	4.608755095
352	4.581183903
353	4.556871944
354	4.528396774
355	4.505187995
356	4.480557057
357	4.463452144
358	4.435582414
359	4.406971348
360	4.382279621
361	4.359862953
362	4.332687918
363	4.313864647
364	4.292683603
365	4.270755593
366	4.248959519
367	4.225664976
368	4.208556909
369	4.185752801
370	4.164422399
371	4.143220453
372	4.121165549
373	4.098878278
374	4.073325758
375	4.050623459
376	4.03551105
377	4.021818215
378	4.000101875
379	3.978120836
380	3.963100422
381	3.944158972
382	3.924921867
383	3.905013661
384	3.883291806
385	3.862371306
386	3.845379707
387	3.830944185
388	3.81020883
389	3.785250218
390	3.764713693
391	3.750614926
392	3.726104489
393	3.705920821
394	3.681766824
395	3.658777852
396	3.640286513
397	3.614398721
398	3.600866474
399	3.581421888
400	3.56212397
401	3.548826788
402	3.535778846
403	3.522654084
404	3.503761405
405	3.486121734
406	3.468588792
407	3.451161944
408	3.438556114
409	3.420156018
410	3.403617222
411	3.383366743
412	3.367033961
413	3.349040212
414	3.332275039
415	3.312494628
416	3.29285831
417	3.272625436
418	3.255175144
419	3.237097575
420	3.225298409
421	3.208110765
422	3.190962602
423	3.173925395
424	3.157042618
425	3.145556275
426	3.130055353
427	3.110823778
428	3.099533386
429	3.080995009
430	3.069065043
431	3.052045458
432	3.032967706
433	3.014868677
434	2.995931476
435	2.978088943
436	2.959538489
437	2.943154666
438	2.929050638
439	2.911652156
440	2.893540953
441	2.875565696
442	2.861800233
443	2.846571449
444	2.831440499
445	2.819543738
446	2.804573106
447	2.78910545
448	2.774321557
449	2.759632464
450	2.744447558
451	2.729941283
452	2.71381012
453	2.70353888
454	2.688695925
455	2.674512502
456	2.660419745
457	2.646417021
458	2.632503706
459	2.618679177
460	2.60494282
461	2.591294026
462	2.57773219
463	2.563660126
464	2.550266029
465	2.535271997
466	2.521463636
467	2.508316966
468	2.495253775
469	2.485856957
470	2.472350144
471	2.459497764
472	2.446157937
473	2.432906518
474	2.420288919
475	2.407751267
476	2.395293025
477	2.382355341
478	2.370050282
479	2.361177584
480	2.348997918
481	2.336342303
482	2.323770386
483	2.31181261
484	2.299395483
485	2.287060395
486	2.275320135
487	2.263653996
488	2.25206149
489	2.240542131
490	2.229095438
491	2.217188512
492	2.205881988
493	2.194646727
494	2.182952982
495	2.171855178
496	2.162051152
497	2.151075702
498	2.143645674
499	2.133990652
500	2.124393393
501	2.114853587
502	2.105370928
503	2.09814782
504	2.08599196
505	2.076659526
506	2.064647416
507	2.053954096
508	2.046816575
509	2.034992689
510	2.025912552
511	2.014968098
512	2.004294088
513	1.993476095
514	1.983177126
515	1.975924738
516	1.965268674
517	1.954677916
518	1.947884341
519	1.937392393
520	1.926964743
521	1.916600965
522	1.909465808
523	1.898812177
524	1.888227416
525	1.881217244
526	1.874738078
527	1.86467028
528	1.854285492
529	1.847920956
530	1.838007968
531	1.827783581
532	1.818183161
533	1.811966119
534	1.802472189
535	1.793049391
536	1.783697196
537	1.769796058
538	1.76376545
539	1.758227548
540	1.752273658
541	1.738634203
542	1.73319574
543	1.727796084
544	1.718567769
545	1.709394644
546	1.70027636
547	1.691212571
548	1.682202934
549	1.673247108
550	1.664344754
551	1.655495538
552	1.646699124
553	1.637955182
554	1.632847073
555	1.624180606
556	1.615565849
557	1.607002477
558	1.59849017
559	1.590028609
560	1.581617478
561	1.573256461
562	1.564945249
563	1.55668353
564	1.548470998
565	1.540565882
566	1.535316668
567	1.52756583
568	1.519784098
569	1.51462947
570	1.50993318
571	1.501143188
572	1.493511258
573	1.488894426
574	1.481391818
575	1.473933573
576	1.468977111
577	1.461526887
578	1.456630865
579	1.449308687
580	1.444869474
581	1.436621946
582	1.429356674
583	1.422182031
584	1.417837223
585	1.410683529
586	1.406390708
587	1.398191929
588	1.391184611
589	1.384177064
590	1.379599745
591	1.375424938
592	1.367406991
593	1.360566171
594	1.353727602
595	1.349643634
596	1.342898617
597	1.334993968
598	1.330975859
599	1.324301725
600	1.316625464
601	1.312674652
602	1.308962383
603	1.305061732
604	1.297239107
605	1.289785241
606	1.285945213
607	1.278601425
608	1.274800653
609	1.271024183
610	1.263289852
611	1.255612849
612	1.251897599
613	1.244293955
614	1.235885575
615	1.227549631
616	1.219285469
617	1.211092439
618	1.207153588
619	1.199050023
620	1.191016171
621	1.187143249
622	1.179197109
623	1.175202148
624	1.171237903
625	1.16776472
626	1.15993971
627	1.152182058
628	1.144491159
629	1.136866411
630	1.12930722
631	1.12547339
632	1.121668998
633	1.117892145
634	1.114143311
635	1.110841104
636	1.103428255
637	1.096079231
638	1.089504076
639	1.082979938
640	1.076506365
641	1.072884976
642	1.069291454
643	1.065722722
644	1.062173519
645	1.059032226
646	1.051984026
647	1.044996499
648	1.038752704
649	1.032557278
650	1.026409791
651	1.020309819
652	1.016892228
653	1.0137326
654	1.010593448
655	1.007364609
656	1.000692176
657	0.9947445287
658	0.9916727553
659	0.9883847949
660	0.9845593429
661	0.9780442777
662	0.9722364838
663	0.9664736322
664	0.9607553272
665	0.9560754608
666	0.9497802524
667	0.9451587989
668	0.9395836567
669	0.9350193361
670	0.9304846888
671	0.9247570088
672	0.9202780486
673	0.9146225411
674	0.9117805723
675	0.908957217
676	0.9061531995
677	0.9033675935
678	0.9005995635
679	0.8976178998
680	0.8948845609
681	0.8914426914
682	0.8861812767
683	0.8809661954
684	0.8757969446
685	0.8706730292
686	0.868028838
687	0.8654023017
688	0.8627938442
689	0.8577567739
690	0.8551782058
691	0.8498356826
692	0.844541954
693	0.8420040624
694	0.8367701851
695	0.8315840651
696	0.8290860979
697	0.824455822
698	0.8193656743
699	0.8148101618
700	0.8123638479
701	0.8073678448
702	0.8028966491
703	0.7984622111
704	0.7935828506
705	0.7911978232
706	0.7868467271
707	0.7823043948
708	0.7775416653
709	0.7730648288
710	0.7686263067
711	0.7639596934
712	0.7616679007
713	0.7573075687
714	0.752719393
715	0.748422108
716	0.7439011577
717	0.7396660257
718	0.7374499819
719	0.7330062012
720	0.7288441422
721	0.7247179058
722	0.7225523326
723	0.7182088856
724	0.7141540498
725	0.7098742434
726	0.7058782908
727	0.7037726723
728	0.6995660065
729	0.695639398
730	0.6918841829
731	0.688013231
732	0.6839211748
733	0.6801065899
734	0.6776021402
735	0.6735874617
736	0.6688573996
737	0.6651394528
738	0.661453789
739	0.6575535013
740	0.6529620327
741	0.6493564336
742	0.6469688532
743	0.6431726577
744	0.6387042845
745	0.6351893199
746	0.6307953409
747	0.6273361865
748	0.6250364803
749	0.6217225152
750	0.617440766
751	0.6132060042
752	0.6098568716
753	0.6065369988
754	0.6021587445
755	0.599955974
756	0.5956313301
757	0.5913485032
758	0.587107032
759	0.5829064606
760	0.5807669655
761	0.5766177577
762	0.5725084661
763	0.5684386522
764	0.5663498606
765	0.5623297573
766	0.5583481848
767	0.5544047208
768	0.5504989484
769	0.5484700194
770	0.5446118951
771	0.5407905612
772	0.5370056164
773	0.5350246392
774	0.5312858242
775	0.5275825308
776	0.5239143728
777	0.5219801796
778	0.5183566879
779	0.5147674964
780	0.5112122332
781	0.5076905312
782	0.5060357916
783	0.50255411
784	0.5009177476
785	0.4974756384
786	0.4948653672
787	0.493256012
788	0.4898701476
789	0.4865162298
790	0.4849313266
791	0.4816155618
792	0.4790934881
793	0.4775347718
794	0.4742732685
795	0.4727318935
796	0.4695075215
797	0.4670545861
798	0.4655387105
799	0.4623671537
800	0.4608681586
801	0.4577327403
802	0.4546269227
803	0.4531507634
804	0.4507889257
805	0.449331196
806	0.4462823674
807	0.4434627322
808	0.4411561948
809	0.4397288232
810	0.4369536818
811	0.4340160521
812	0.4317632808
813	0.4303660332
814	0.4276574498
815	0.4254429016
816	0.4238326745
817	0.4209725071
818	0.4195252509
819	0.4167109099
820	0.4140976908
821	0.4119569208
822	0.4105374053
823	0.4079649424
824	0.405239523
825	0.4038416425
826	0.4017603175
827	0.3992490056
828	0.3971959647
829	0.3959463101
830	0.393305124
831	0.3912868823
832	0.3900560762
833	0.3876233379
834	0.3854889159
835	0.3830895586
836	0.3809849241
837	0.3796696551
838	0.3771457052
839	0.3758441722
840	0.3737846179
841	0.3724987663
842	0.370180883
843	0.3681568087
844	0.3658706541
845	0.3638747959
846	0.3626200001
847	0.3603697481
848	0.3584087224
849	0.3571741357
850	0.3549591019
851	0.3527635082
852	0.3508470983
853	0.3496371596
854	0.347349719
855	0.3461528641
856	0.3438910466
857	0.3427556289
858	0.3408955329
859	0.3387896174
860	0.3369554674
861	0.3358453228
862	0.3340321064
863	0.3318520504
864	0.3300644933
865	0.3289794281
866	0.3272122952
867	0.3251927233
868	0.3234502451
869	0.3223893676
870	0.3202878597
871	0.3185753527
872	0.3175332165
873	0.3154570253
874	0.313774419
875	0.3122014663
876	0.3111826204
877	0.3092657864
878	0.3073278048
879	0.3053256177
880	0.303703602
881	0.3017318214
882	0.3007455095
883	0.2991518605
884	0.297660614
885	0.2966914868
886	0.2947678314
887	0.2932136642
888	0.2913192423
889	0.2898724241
890	0.2889298841
891	0.2871221629
892	0.285272527
893	0.2837746774
894	0.2828539707
895	0.2812010368
896	0.2799676832
897	0.2781679971
898	0.2769494863
899	0.2757394878
900	0.2739706137
901	0.2730866104
902	0.2718960574
903	0.2707138118
904	0.2689796857
905	0.2678116538
906	0.2666517653
907	0.2654999664
908	0.2638478642
909	0.2627112969
910	0.2617794858
911	0.2601022951
912	0.2589832648
913	0.2580667256
914	0.2564166876
915	0.2550747936
916	0.2541740692
917	0.2532803781
918	0.2516630042
919	0.2507802784
920	0.2493404437
921	0.2482711611
922	0.2466894768
923	0.2457148424
924	0.2446625949
925	0.2433874427
926	0.2425368634
927	0.2411536449
928	0.2396195348
929	0.2387833149
930	0.2375417216
931	0.2367162967
932	0.2352126178
933	0.2343962082
934	0.2331805123
935	0.2323733819
936	0.2315715082
937	0.2301007259
938	0.2289103904
939	0.2281202567
940	0.2271379736
941	0.2257233426
942	0.2247524251
943	0.2233650773
944	0.2225963956
945	0.2211842791
946	0.2204238006
947	0.2190296381
948	0.218277626
949	0.2171505872
950	0.2164063336
951	0.2150402764
952	0.2139292474
953	0.2131962947
954	0.2118697293
955	0.2109607827
956	0.2102389056
957	0.2093388227
958	0.2080372766
959	0.2071475741
960	0.205873322
961	0.2051715662
962	0.2038984191
963	0.2027457594
964	0.2020555168
965	0.2007807678
966	0.2000982411
967	0.1988403114
968	0.1978133719
969	0.1967942302
970	0.1961953731
971	0.1951377189
972	0.1945460811
973	0.1933252016
974	0.1922368753
975	0.191655242
976	0.1906238626
977	0.1898137191
978	0.1892415946
979	0.1880681138
980	0.1872697217
981	0.1867074188
982	0.1855625866
983	0.184399889
984	0.1838471999
985	0.182699373
986	0.1819351061
987	0.1813914112
988	0.1802622077
989	0.1795096502
990	0.1789747686
991	0.1777722783
992	0.1771583781
993	0.1762065059
994	0.1756001411
995	0.1745135587
996	0.1735783835
997	0.1729820558
998	0.1720185457
999	0.1709554013
